Word,POS
gay,n
chicken,n
thigh,n
breast,n
clogs,n
arteries,n
time,n
shaquille,n
oneal,n
dubstep,n
dj,n
red,a
meat,n
good,a
yooooo,n
legend,n
u,n
bowling,n
stream,n
week,n
penguinz,n
watch,n
okis,n
weird,n
storys,n
please,n
super,n
nice,a
see,v
news,n
missouri,n
mom,n
putting,v
baby,n
oven,r
sup,n
charlie,n
loosing,v
sure,n
much,a
longer,n
continue,n
path,n
dissao,n
actually,r
anything,n
devin,n
booker,n
ever,r
crash,n
bandicoot,n
supererrrrrr,n
rigged,v
play,n
dark,n
souls,n
hhvaush,n
horse,n
stuff,n
wwe,n
press,n
conference,n
look,n
mr,n
hands,n
didnt,n
stupid,a
human,n
faulty,n
body,n
landed,v
er,n
moist,n
meter,n
lies,n
p,n
tata,n
byyo,n
yoo,n
wsg,n
penguin,n
backflip,n
heard,n
helldivers,n
watching,v
frieren,n
beyond,
journeys,n
end,n
k,n
would,
change,n
life,n
thoughts,n
halftime,n
show,n
still,r
getting,v
ads,n
mid,n
subbed,n
persona,n
reloaded,v
think,n
bowl,n
commercials,n
caught,n
skibidi,n
toilet,n
lore,n
tell,n
gang,n
love,n
luck,n
ur,n
next,a
banger,n
vid,n
yeah,n
happened,v
claw,n
machine,n
missed,v
need,n
take,v
dive,n
cobrajfss,n
mead,n
making,v
hanforth,n
council,n
one,
jackie,n
weaver,n
coup,n
lol,n
fruit,n
juice,n
tier,n
list,n
deadpool,n
trailer,n
pleease,n
thought,n
hyped,n
abt,n
new,a
release,n
bet,n
youd,n
find,v
fear,n
hunger,n
interesting,v
buy,v
store,n
motorcycle,n
happy,a
basketball,n
bulk,n
eat,n
cooked,n
vegetables,n
seen,v
satire,n
justin,n
bieber,n
chiefs,n
dude,n
slapped,v
ers,n
player,n
earned,v
team,n
penalty,n
feel,n
gamertag,n
astralfrostbitedemondeity,n
worth,n
soup,n
usher,n
make,v
gojo,n
reference,n
somethingaboutchickens,n
video,n
true,a
youre,n
going,v
build,n
alley,n
hq,n
sleep,n
night,n
ball,n
pins,n
spongwbob,n
half,n
tampa,n
wasnt,n
mrcritikal,n
asked,v
gta,n
since,
florida,n
got,v
rent,n
trash,n
truck,n
day,n
mike,n
spark,n
favorite,n
home,n
made,v
meal,n
twinsanity,n
ost,n
slaps,n
cancer,n
sucks,n
tho,n
found,n
thats,n
wat,n
died,v
liver,n
lead,n
serosis,n
vs,n
yard,n
boys,n
school,n
rn,n
overwatch,n
bs,n
bru,n
another,
mini,n
golf,n
tournament,n
andrew,n
callaghan,n
arrested,v
hey,n
get,v
chance,n
tweet,n
custom,n
gundam,n
game,n
food,n
dip,n
reviews,n
mint,n
mobile,n
switch,n
handforth,n
different,a
comic,a
book,n
god,n
taco,n
bell,n
idgaf,n
doesnt,n
deserve,n
lifestyle,n
hate,n
labor,n
nothing,n
reward,n
people,n
like,
live,a
living,n
unfair,n
uncaring,v
alligator,n
snapping,v
turtle,n
exactly,r
isnt,n
vi,n
abandoned,v
bring,n
buck,n
shot,n
roulette,n
gm,n
update,n
gamersupps,n
whered,v
piece,n
charles,n
alabama,n
cell,n
tower,n
stolen,v
black,a
myth,n
wukong,n
year,n
contender,n
rigging,v
nfl,n
swiftards,n
wallis,n
grommet,n
back,r
iphone,n
fought,n
level,n
boss,n
old,a
runescape,n
scurrious,a
remember,v
cheese,n
wheel,n
race,n
alex,n
james,n
whatt,n
hi,n
vitality,n
first,r
rlcs,n
loss,n
rats,n
fucking,v
robbed,n
watched,v
ninja,n
kamui,n
pf,n
course,n
spongebob,n
fence,n
mouse,n
pretty,r
lack,n
luster,n
definitely,r
couldnt,n
compare,n
alot,n
ones,n
past,n
years,n
steal,n
sell,n
yea,n
cheifs,n
expert,n
heists,n
damn,n
mad,n
skillz,n
bestie,n
phoenix,n
suns,n
scripted,v
drake,n
curse,n
broken,n
never,r
big,a
gulp,n
geeze,n
desperate,n
considered,v
building,n
lane,n
warehouse,n
hear,n
helicopter,n
mars,n
man,n
steak,n
sigh,n
robert,n
mercer,n
yes,n
thinking,v
local,a
reasturants,n
trucks,n
ill,n
real,a
quiet,a
really,r
anime,n
shwallow,n
id,n
dollar,n
cowcop,n
wasp,n
behind,
oh,n
shit,n
creatures,n
doritos,n
cool,n
ranch,n
nacho,n
r,n
give,v
car,n
pls,n
best,a
supersupps,n
flavor,n
butt,n
fucker,n
hee,n
kuhmooey,n
add,v
items,n
comes,v
makes,v
gassy,n
hope,n
genetic,a
cuzz,n
could,
drove,n
pickup,n
ocean,n
gave,v
smile,n
said,v
fault,n
dont,n
surf,n
key,n
wester,n
hes,n
floridian,a
homework,n
route,n
peep,n
prediction,n
saucesav,n
n,n
nba,n
finals,n
teams,n
win,n
twitchyoutube,n
schedule,n
work,n
l,n
chill,n
tn,n
championship,n
want,n
physical,a
lean,n
white,a
raw,n
heaps,n
cardio,n
grower,n
shower,n
help,n
ive,a
jelqed,n
attacked,v
pansted,v
mustang,n
ina,n
street,n
drift,n
everyone,n
ran,n
zoom,n
ass,n
uk,n
dead,a
pool,n
adds,v
songs,n
skynut,n
disney,n
created,v
vr,n
floor,n
keeps,n
walking,v
place,n
realistic,a
surprised,a
plan,n
hot,a
played,n
well,r
loving,v
sides,n
needed,v
read,n
guy,n
released,v
stabbed,n
days,n
later,r
wear,n
polarized,v
sunglasses,n
crocs,n
water,n
cold,n
ice,n
spice,n
oof,n
critical,a
recommend,n
jelqing,n
techniques,n
speed,n
run,v
yikes,n
hello,n
guys,n
brother,n
peter,n
griffin,n
pecker,n
someone,n
money,n
ask,n
vaush,n
folder,n
leak,n
snoll,n
pp,n
static,a
cause,n
enjoy,n
little,a
footy,n
drakes,n
leaks,n
opinions,n
rise,n
ronin,n
looks,n
avergae,n
thank,n
wdym,n
massive,a
naw,n
dong,n
epic,n
moving,v
screen,n
know,v
pose,n
smoked,v
zaza,n
goat,n
heart,n
warm,n
w,n
letsgo,n
omegalul,n
job,n
shutup,n
beast,n
hahahahhahahahaha,n
french,a
wall,n
happs,n
lool,n
pal,n
bruh,n
ez,n
clap,n
fr,n
hell,n
gottem,n
kappa,n
lmao,n
evening,v
lud,n
went,v
grammys,n
call,n
brick,n
bricked,v
lmaoo,n
tall,n
let,v
paint,n
rare,n
moment,n
icant,n
gun,n
wotttt,n
monkaw,n
sounds,n
fun,n
bro,n
blocking,v
celebs,n
huhh,n
ayo,n
lookup,n
poor,a
qt,n
pepehands,n
chuggaaconroy,n
drama,n
pain,n
rather,r
wet,n
bg,n
arent,n
drenched,v
point,n
wetwig,n
feelsrainman,n
fiiiiiine,n
box,n
cut,n
line,n
two,
multiplied,v
talk,n
strat,n
shlatt,n
wouldnt,n
allowed,v
socks,n
cutting,v
cringe,n
batchest,n
lame,n
even,r
america,n
dawg,n
streamer,n
cryptoooooo,n
wow,n
story,n
telling,v
funny,n
rain,n
poggies,n
sweets,n
drenchedwig,n
goated,v
arena,n
ad,n
moistwig,n
swipe,n
bidet,n
today,n
httpsswipelive,n
gigachad,n
waffle,n
crypto,n
name,n
sound,n
right,n
richhhh,n
nosebleeds,n
youtube,n
lolll,n
binoculars,n
awesome,n
wouldve,n
lulw,n
better,r
seats,n
artists,n
opera,n
glasses,n
neff,n
joined,v
otk,n
crypt,n
spoilers,n
oook,n
feelsweirdman,n
fancy,n
booths,n
chat,n
kilin,n
must,
e,n
victorian,a
era,n
join,n
official,n
ludwig,n
discord,n
httpsdiscordggludwig,n
crazy,n
overlooking,v
poors,n
gigitty,n
grrrr,n
boygenius,n
top,n
yt,n
peepogiggles,n
baldurs,n
gate,n
omg,n
way,n
hehe,n
haha,n
scammed,v
despairge,n
bathrooms,n
theyre,n
shapes,n
fetuses,n
peculiar,n
therr,n
also,r
lot,n
short,a
lollll,n
eepy,n
okay,n
doc,n
great,a
host,n
hasan,n
charming,v
monologue,n
trevor,n
noah,n
laufey,n
lets,n
go,v
oooooh,n
last,a
try,n
challange,n
yep,n
pog,n
matter,n
came,v
pepew,n
due,a
yesyes,n
def,n
spammer,n
guarantee,n
knew,n
months,n
ago,r
omegalullll,n
loves,n
op,n
af,n
uhm,n
care,n
yooo,n
baulders,n
sza,n
amazing,v
slayed,n
nah,n
hiiii,n
ludwiiig,n
ludwiig,n
learnt,n
uni,a
south,n
african,a
comedian,n
exceptional,a
hiiiiiii,n
hiiiii,n
polite,n
overall,a
mhm,n
queen,n
tough,a
gig,n
shake,n
ok,n
africa,n
goooo,n
kinda,n
fuck,n
merrel,n
streep,n
trever,n
done,v
music,n
pepog,n
wooooo,n
mentioned,v
boring,n
guess,n
saw,n
qlllakakakakskks,n
pooooooog,n
x,n
celebration,n
awards,n
wooo,n
shout,n
jacob,n
collier,n
ludy,n
download,n
truffle,n
extension,n
emotes,n
predictions,n
httpstrufflevipextension,n
learn,n
miley,n
cyrus,n
dang,n
based,v
clip,n
literally,r
taylor,n
sleeping,v
couch,n
say,v
loud,n
travis,n
snubbed,n
busssssssssssssssssss,n
pop,n
vocal,a
album,n
scammys,n
gedraag,n
ties,n
vz,n
yipee,n
lana,n
hmmge,n
killer,n
cuffed,n
swift,n
winning,v
rerelease,n
snub,n
boom,n
sht,n
hold,n
mug,n
lmaoooo,n
wowwowww,n
tortured,v
poet,n
department,n
eating,v
burber,n
homeymustarf,n
blind,n
rip,n
society,n
jungkook,n
ecofascists,n
sipping,v
double,r
whisky,n
ya,n
early,r
la,n
jayz,n
shes,n
marketing,n
genuis,n
small,a
indie,n
artist,n
excited,v
poets,n
whaa,n
dogs,n
tendies,n
side,n
disapointment,n
totured,v
robin,n
williams,n
influence,n
joke,n
lmfao,n
sift,n
forgot,n
breaded,v
glutened,v
announcement,n
honestly,r
unnecessary,a
research,n
wowza,n
mogul,n
mail,n
bros,n
drunk,n
ttpd,n
swifties,n
comin,n
scott,n
tone,n
deaf,n
zoomers,n
qts,n
reaction,n
pogodown,n
naaa,n
dangggg,n
yessir,n
nominated,v
jay,n
z,n
dinner,n
crazyy,n
luddddd,n
dirty,n
exist,n
always,r
talking,v
whyd,n
hard,a
eazy,n
mod,n
honey,n
mustard,n
wrong,a
awkward,n
ye,n
wss,n
undrake,n
cap,n
trying,v
kanye,n
del,n
rey,n
power,n
move,n
victory,n
lap,n
lanas,n
celine,n
dion,n
deserved,v
exactlyyy,n
odd,n
arrived,v
together,r
needs,n
stop,n
ekto,n
women,n
support,n
f,n
embarrased,v
exited,v
playa,n
belgium,n
meet,n
fuckin,n
start,n
playing,v
already,r
commercial,a
breaks,n
sadge,n
long,r
cares,n
theres,n
million,
dollars,n
hai,n
downtime,n
yo,n
lanna,n
stage,n
hommies,n
called,v
fool,n
whole,a
lotta,n
snitches,n
sense,n
victor,n
midwig,n
many,a
edit,n
messy,n
issues,n
soooo,n
darkmascoty,n
cope,n
disrespect,n
celebrities,n
disappointing,v
tbh,n
seems,v
excessive,a
set,n
room,n
waiting,v
periods,n
wackkk,n
luddy,n
cant,n
wait,n
bald,n
horrendous,a
nuts,n
mouth,n
em,n
monkahmm,n
bedge,n
ready,a
greatest,a
villain,n
fans,n
nahhhhhhhhhh,n
aintnoway,r
onegalul,n
thay,n
trolling,v
honk,n
shoo,n
sleepy,n
lmaoooooooo,n
technical,a
event,n
sleepwig,n
snooze,n
fest,n
chatter,n
wut,n
looool,n
blame,n
cute,n
quick,n
snooz,n
xd,n
drink,n
alone,r
pssh,n
snoozing,v
minute,n
dale,n
asf,n
lmaooooo,n
mimimij,n
nooo,n
badge,n
peepocute,n
boy,n
swities,n
duuuude,n
loool,n
zzzwig,n
goddamn,n
iconic,n
dubbin,n
hoeless,n
solo,n
gummy,n
mi,n
activity,n
pookie,n
shooooo,n
subscribe,n
channel,n
drop,n
enjoying,v
nappies,n
ahhahahahahhahahahahah,n
drinks,n
lushwig,n
aww,n
hahahaha,n
